danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.647,0.65,1,-7.396,1,0.0771,0.171,0.0,0.106,0.377,132.997,audio_features,7ezboaARv4FY1k0WFoINWC,spotify:track:7ezboaARv4FY1k0WFoINWC,https://api.spotify.com/v1/tracks/7ezboaARv4FY1k0WFoINWC,https://api.spotify.com/v1/audio-analysis/7ezboaARv4FY1k0WFoINWC,216738,4
0.681,0.604,5,-8.128,1,0.143,0.212,2.6e-06,0.13,0.134,139.965,audio_features,6T3CVAp8l7hRiwO9t51ajI,spotify:track:6T3CVAp8l7hRiwO9t51ajI,https://api.spotify.com/v1/tracks/6T3CVAp8l7hRiwO9t51ajI,https://api.spotify.com/v1/audio-analysis/6T3CVAp8l7hRiwO9t51ajI,192368,4
0.817,0.534,10,-11.808,1,0.16,0.0341,0.0,0.069,0.47,116.013,audio_features,0rIrIUpcd1FFRSEwQGk1Cs,spotify:track:0rIrIUpcd1FFRSEwQGk1Cs,https://api.spotify.com/v1/tracks/0rIrIUpcd1FFRSEwQGk1Cs,https://api.spotify.com/v1/audio-analysis/0rIrIUpcd1FFRSEwQGk1Cs,154773,5
0.389,0.431,7,-8.061,1,0.0344,0.249,0.0,0.13,0.275,142.14,audio_features,5MMZJtHOiH1RmQSSe3DJdg,spotify:track:5MMZJtHOiH1RmQSSe3DJdg,https://api.spotify.com/v1/tracks/5MMZJtHOiH1RmQSSe3DJdg,https://api.spotify.com/v1/audio-analysis/5MMZJtHOiH1RmQSSe3DJdg,211851,4
0.727,0.338,5,-15.967,0,0.0266,0.00109,0.567,0.126,0.354,93.029,audio_features,4ydhY520tKX7dVz2QPDtG1,spotify:track:4ydhY520tKX7dVz2QPDtG1,https://api.spotify.com/v1/tracks/4ydhY520tKX7dVz2QPDtG1,https://api.spotify.com/v1/audio-analysis/4ydhY520tKX7dVz2QPDtG1,216686,4
0.796,0.5,1,-7.21,1,0.425,0.118,0.0,0.155,0.227,75.012,audio_features,1nX9KhK3Fff27SnrIor2Yb,spotify:track:1nX9KhK3Fff27SnrIor2Yb,https://api.spotify.com/v1/tracks/1nX9KhK3Fff27SnrIor2Yb,https://api.spotify.com/v1/audio-analysis/1nX9KhK3Fff27SnrIor2Yb,255560,4
0.442,0.68,10,-5.971,0,0.0858,0.284,0.0,0.421,0.601,176.09,audio_features,6BFnRhvKCclDQOajt8dBGi,spotify:track:6BFnRhvKCclDQOajt8dBGi,https://api.spotify.com/v1/tracks/6BFnRhvKCclDQOajt8dBGi,https://api.spotify.com/v1/audio-analysis/6BFnRhvKCclDQOajt8dBGi,222920,4
0.172,0.477,2,-8.444,1,0.0342,0.00508,0.419,0.849,0.864,70.93,audio_features,2hwDwzXhV0ox1qrawRMJht,spotify:track:2hwDwzXhV0ox1qrawRMJht,https://api.spotify.com/v1/tracks/2hwDwzXhV0ox1qrawRMJht,https://api.spotify.com/v1/audio-analysis/2hwDwzXhV0ox1qrawRMJht,27159,3
0.778,0.737,0,-6.383,1,0.244,0.00731,0.0403,0.0409,0.656,128.987,audio_features,72imMIOr6tAX7zs3ZF64me,spotify:track:72imMIOr6tAX7zs3ZF64me,https://api.spotify.com/v1/tracks/72imMIOr6tAX7zs3ZF64me,https://api.spotify.com/v1/audio-analysis/72imMIOr6tAX7zs3ZF64me,259415,4
0.538,0.52,7,-11.063,0,0.737,0.308,0.0,0.214,0.551,180.274,audio_features,5uZm7EFtP5aoTJvx5gv9Xf,spotify:track:5uZm7EFtP5aoTJvx5gv9Xf,https://api.spotify.com/v1/tracks/5uZm7EFtP5aoTJvx5gv9Xf,https://api.spotify.com/v1/audio-analysis/5uZm7EFtP5aoTJvx5gv9Xf,174192,4
0.661,0.731,9,-8.436,0,0.0601,0.0791,0.371,0.101,0.325,164.058,audio_features,1mTArHiPaBuFgxL4GvMn5F,spotify:track:1mTArHiPaBuFgxL4GvMn5F,https://api.spotify.com/v1/tracks/1mTArHiPaBuFgxL4GvMn5F,https://api.spotify.com/v1/audio-analysis/1mTArHiPaBuFgxL4GvMn5F,181646,4
0.471,0.229,8,-6.504,1,0.0358,0.953,0.0,0.0909,0.358,68.41,audio_features,0PKAijroHpnEtdY20bkGdr,spotify:track:0PKAijroHpnEtdY20bkGdr,https://api.spotify.com/v1/tracks/0PKAijroHpnEtdY20bkGdr,https://api.spotify.com/v1/audio-analysis/0PKAijroHpnEtdY20bkGdr,137250,3
0.742,0.67,0,-7.192,0,0.0425,0.0356,0.0358,0.0755,0.672,94.994,audio_features,1hCD7X2223N2Jt4MzKIe3C,spotify:track:1hCD7X2223N2Jt4MzKIe3C,https://api.spotify.com/v1/tracks/1hCD7X2223N2Jt4MzKIe3C,https://api.spotify.com/v1/audio-analysis/1hCD7X2223N2Jt4MzKIe3C,352867,4
0.755,0.779,7,-6.71,1,0.241,0.024,0.724,0.586,0.346,144.996,audio_features,4snZHWjpuIlkUkjb7jAVtc,spotify:track:4snZHWjpuIlkUkjb7jAVtc,https://api.spotify.com/v1/tracks/4snZHWjpuIlkUkjb7jAVtc,https://api.spotify.com/v1/audio-analysis/4snZHWjpuIlkUkjb7jAVtc,158897,4
0.495,0.369,9,-7.565,1,0.0656,0.0105,0.837,0.0755,0.115,91.229,audio_features,4Hwh4irmxbL1BUEzWbMwfD,spotify:track:4Hwh4irmxbL1BUEzWbMwfD,https://api.spotify.com/v1/tracks/4Hwh4irmxbL1BUEzWbMwfD,https://api.spotify.com/v1/audio-analysis/4Hwh4irmxbL1BUEzWbMwfD,201491,4
0.484,0.944,4,-3.652,1,0.0413,0.0901,0.0,0.471,0.839,170.064,audio_features,2qafbUnfNfE0CvAsA1xrYx,spotify:track:2qafbUnfNfE0CvAsA1xrYx,https://api.spotify.com/v1/tracks/2qafbUnfNfE0CvAsA1xrYx,https://api.spotify.com/v1/audio-analysis/2qafbUnfNfE0CvAsA1xrYx,185400,4
0.962,0.536,9,-7.084,0,0.162,0.203,9.81e-05,0.0909,0.572,128.065,audio_features,2gHoZCVHSlXvW8i1KRvJvy,spotify:track:2gHoZCVHSlXvW8i1KRvJvy,https://api.spotify.com/v1/tracks/2gHoZCVHSlXvW8i1KRvJvy,https://api.spotify.com/v1/audio-analysis/2gHoZCVHSlXvW8i1KRvJvy,227353,4
