title,artist,id
D.A.M.,Fetty Wap,5NQbUaeTEOGdD6hHcre0dZ
Where The Party At,Jagged Edge,3rKTSe4vL6UUQVEdwKxpk5
Ay!,Machine Gun Kelly,7kDUspsoYfLkWnZR7qwHZl
I Don’T Wanna Die,G Herbo,6FgLgiZfogBrRLUKTL9DpW
Sidewalks,The Weeknd,45pBNwe1xz3tjtov3y3d9A
Papercuts,Machine Gun Kelly,7cehvOTCvubpbcByiu3mHj
From Eden,Hozier,37zuIvk4KBkAxxLJsxJaHq
Back Together,Robin Thicke,4V2F0DZrAXOWq9hkwMMG3x
Rap God,Eminem,14Tuu2CobiHxebbrLgDQ3K
Rockabye Baby,Joey Bada$$,1zARHKo3tPfw3msYMlF7vY
Detox,Lil Baby,5RY2e2gXefSEvDUwB4vFK4
Save Your Tears,The Weeknd,1oFAF1hdPOickyHgbuRjyX
Don'T Take The Money,Bleachers,7fRCD4vVNpCy91Y3zxNMUl
Disco Tits,Tove Lo,0L06aZLoX6BRT0hUPh7O5g
Champions,Kanye West,6xrKVIzwYvUsOhBk4gLChH
Something From Nothing,Foo Fighters,63KmZab7V8ocF9HMFxtVuL
Night Running,Cage The Elephant,1c39AwcrkN9srI7Az5662I
Ice Cream,Blackpink,3iDDeerxzCgnrvlCqY5zXK
Like I Loved You,Brett Young,4mmoLQxMWGb786NERnEWlf
I Hope,Gabby Barrett,6NqriOh2mqsgoMqafIuksy
Happy  Live,Pharrell Williams,4675yUu8AUbE72T94BkLCD
Blind Heart,Cazzette,1hTbfQNr8O6972xGKNgDmF
Iced Out My Arms,Dj Khaled,4wjoEhl8CdGZkYOmwu2q4X
Secure The Bag,Lil Uzi Vert,26f2ANlGI6fCj23gKlhTi0
Doh Doh,Future,3UHQTXa7zeV5F79xvnGEgs
Venetia,Lil Uzi Vert,2Jdezp0U1YKmlBJK1IrYBm
Every Hour,Kanye West,4cSq7iVv5rjsThcW9mqGIt
Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],Internet Money,6rUcS9i07F6okIe8wujs5J
Get Geeked,Ski Mask The Slump God,7KMi67SvcUC1rTfCqNXzoN
Party On Fifth Ave.,Mac Miller,3EYepnWhxUy12s9nebfdpU
Who Needs Love,Tory Lanez,1ecVeauys2iIOAP7e2PWHK
Hood Rich,Lil Tjay,3U3gHqRwjam6CxwW68m30z
Ruff Ryders' Anthem,Dmx,1AAXqrXEoU4vTdo3W1oeCJ
All 4 Nothing (I'M So In Love),Lauv,7LpMG3AEaIJgs62HQhAa91
Red Roses,Lil Skies,5LIX0JWid6ASLhAikVo3Ah
Ojitos Lindos,Bad Bunny,3Uz06PWnrdKurvhMtmeIDf
My Kind Of Woman,Mac Demarco,215FCyLSBcXeX0NASXEjyn
Fine By Time,Youngboy Never Broke Again,6xL9MJ2yt39HPPZPyGkRy8
That Old Truck,Thomas Rhett,4O1CExxinEpKZi3861NlTK
Don'T,Ed Sheeran,49WNdS1zw5NjaqMNEARcWO
In My Feelings,Lana Del Rey,0h1W19pS59KtEd7aDzF58i
Good Intentions,Disclosure,3p6aRY0ePa28UM85z9X8iS
You'Ll Be Back,Jonathan Groff,5zaf2hHKBfUuGV9PCoozkB
Talk Up,Drake,1kYAk22au7AHZiLKrARd09
Heavy Crown,Iggy Azalea,5t0VcwyjDPOWIdylULdfxk
Something Just Like This,The Chainsmokers,50RJdoxw8iajGNtHQe6QeS
Roadtrip,Dream,0r2iTqN5GdyHvSFKB4Gdcv
Peaches N Cream,Snoop Dogg,1bfyk7VgxUntg5ln7sRB63
Party,Dj Khaled,1EJIcDYXwSqipW5dFe4uJz
Title Track,Machine Gun Kelly,1SosPrPSTj69uHWd3ajyKR
Feel Me,Tyga,4EULxrBHmPQlvF7DkuDo5g
Animals,Maroon 5,6JEntXLt4z98CcDtIH9sU7
Do The Most,Tory Lanez,2sSwFOFGIOuf1WlIuxU1Gu
D.M.B.,A$Ap Rocky,4b9cdjpEqR9ufNZTLevuAD
I Know You,Skylar Grey,5CpsIb7SMFHjmAG8RvIWfq
Homemade Dynamite  Remix,Lorde,0duOOCLT6zJ5utB1SloK41
Chloraseptic,Eminem,16MzyewR5cQFb4so9YKvy4
I Am Woman,Emmy Meli,3l2hbXdvmaH3tUd3qWLKgm
